"""country_name"",""country_text_id"",""country_id"",""year"",""v2x_polyarchy"",""v2x_regime"",""e_boix_regime"",""e_polity2"",""e_regionpol"",""e_regionpol_6C"",""dir_crim"",""ind_crim"",""gmc"",""gmcpr"",""gmcphys"",""gmcpsych"",""gmcdiv"",""nb3g"",""adp_general"",""adp_constitution"",""adp_employment"",""adp_education"",""adp_healthcare"",""adp_housing"",""trip_score"",""trip_percent"",""wb_gdppc"",""lgdppc_wb"",""religiosity_percent"",""no_dircrim"",""no_indcrim"",""nophys"",""nopsych"",""nodiv"""
"Niger,""NER"",60,2019,0.534,2,0,NA,4,4,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,550.963555536013,6.31166887283325,1,1,1,0,0,0"
"Zambia,""ZMB"",61,2019,0.338,1,1,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,1268.12094056241,7.14529132843018,1,1,0,0,0,0"
"Zimbabwe,""ZWE"",62,2019,0.293,1,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,1421.86859641758,7.25972700119019,0.923700034618378,1,0,0,0,0"
"Guinea,""GIN"",63,2019,0.353,1,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,1043.8998820932,6.95071887969971,0.98199999332428,1,0,0,0,0"
"Ivory Coast,""CIV"",64,2019,0.55,2,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,2238.81100489009,7.71370029449463,0.919100046157837,1,0,0,0,0"
"Mauritania,""MRT"",65,2019,0.41,1,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,1839.964449578,7.51750135421753,1,1,0,0,0,0"
"Canada,""CAN"",66,2019,0.858,3,1,NA,5,5,0,0,0,2,2,2,2,0,1,0,1,0,1,1,6,0.461538463830948,46328.6718408497,10.7435159683228,0.755800008773804,1,1,0,0,0"
"Australia,""AUS"",67,2019,0.836,3,1,NA,5,5,0,0,0,2,2,2,2,0,1,0,1,1,1,1,7,0.538461565971375,54941.4341793948,10.914023399353,0.718399941921234,1,1,0,0,0"
"Botswana,""BWA"",68,2019,0.658,3,1,NA,4,4,0,1,1,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,6679.16767381458,8.80674839019775,0.821900010108948,1,0,0,0,0"
"Burundi,""BDI"",69,2019,0.159,1,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,216.972968085123,5.37977266311646,1,1,0,0,0,0"
"Cape Verde,""CPV"",70,2019,0.789,2,1,NA,4,4,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,3434.56274492859,8.14164447784424,0.909899950027466,1,1,0,0,0"
"Central African Republic,""CAF"",71,2019,0.385,1,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,426.408762581226,6.05539846420288,0.999000012874603,1,0,0,0,0"
"Chile,""CHL"",72,2019,0.824,2,1,NA,2,2,0,1,1,1,0,0,1,0,1,0,1,0,0,0,6,0.461538463830948,14631.9468779229,9.59096240997314,0.904100060462952,1,0,1,1,0"
"Costa Rica,""CRI"",73,2019,0.899,3,1,NA,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0.461538463830948,12669.341068679,9.44694042205811,0.920100033283234,1,1,1,1,1"
"Timor-Leste,""TLS"",74,2019,0.689,2,1,NA,7,6,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,1584.26384378261,7.36787509918213,1,1,1,0,0,0"
"Ecuador,""ECU"",75,2019,0.625,2,1,NA,2,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,6,0.461538463830948,6233.25816692363,8.73765468597412,0.944100022315979,1,0,1,1,1"
"France,""FRA"",76,2019,0.877,3,1,NA,5,5,0,0,1,0,0,0,0,0,1,0,1,1,1,1,11,0.846153855323792,40494.8982936276,10.6089315414429,0.684899985790253,1,1,1,1,1"
